Threshold,Accuracy,Precision,Recall,F1 Score,Method,Category
0.8200000000000001,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.8300000000000001,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.84,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.85,0.875,1.0,0.75,0.8571428571428571,wup,Dangerous
0.86,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.87,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.88,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.89,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.9,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.91,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.92,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.93,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.9400000000000001,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.9500000000000001,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.96,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.97,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.98,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.99,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
1.0,0.75,1.0,0.5,0.6666666666666666,wup,Dangerous
0.0,0.5,0.5,1.0,0.6666666666666666,res,Safe
0.01,0.75,0.75,0.75,0.75,res,Safe
0.02,0.75,0.75,0.75,0.75,res,Safe
0.03,0.75,0.75,0.75,0.75,res,Safe
0.04,0.75,0.75,0.75,0.75,res,Safe
0.05,0.75,0.75,0.75,0.75,res,Safe
0.06,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.07,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.08,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.09,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.1,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.11,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.12,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.13,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.14,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.15,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.16,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.17,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.18,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.19,0.625,0.6666666666666666,0.5,0.5714285714285715,res,Safe
0.2,0.5,0.5,0.25,0.3333333333333333,res,Safe
0.21,0.5,0.5,0.25,0.3333333333333333,res,Safe
0.22,0.5,0.5,0.25,0.3333333333333333,res,Safe
0.23,0.5,0.5,0.25,0.3333333333333333,res,Safe
0.24,0.5,0.5,0.25,0.3333333333333333,res,Safe
0.25,0.5,0.5,0.25,0.3333333333333333,res,Safe
