Threshold,Precision,Recall,FPR,Method,Category
0.15,0.6666666666666666,0.5,0.25,res,Safe
0.16,0.6666666666666666,0.5,0.25,res,Safe
0.17,0.6666666666666666,0.5,0.25,res,Safe
0.18,0.6666666666666666,0.5,0.25,res,Safe
0.19,0.6666666666666666,0.5,0.25,res,Safe
0.2,0.5,0.25,0.25,res,Safe
0.21,0.5,0.25,0.25,res,Safe
0.22,0.5,0.25,0.25,res,Safe
0.23,0.5,0.25,0.25,res,Safe
0.24,0.5,0.25,0.25,res,Safe
0.25,0.5,0.25,0.25,res,Safe
0.26,1.0,0.25,0.0,res,Safe
0.27,1.0,0.25,0.0,res,Safe
0.28,1.0,0.25,0.0,res,Safe
0.29,1.0,0.25,0.0,res,Safe
0.3,1.0,0.25,0.0,res,Safe
0.31,1.0,0.25,0.0,res,Safe
0.32,1.0,0.25,0.0,res,Safe
0.33,1.0,0.25,0.0,res,Safe
0.34,1.0,0.25,0.0,res,Safe
0.35000000000000003,1.0,0.25,0.0,res,Safe
0.36,1.0,0.25,0.0,res,Safe
0.37,1.0,0.25,0.0,res,Safe
0.38,1.0,0.25,0.0,res,Safe
0.39,1.0,0.25,0.0,res,Safe
0.4,1.0,0.25,0.0,res,Safe
0.41000000000000003,1.0,0.25,0.0,res,Safe
0.42,1.0,0.25,0.0,res,Safe
0.43,1.0,0.25,0.0,res,Safe
0.44,1.0,0.25,0.0,res,Safe
0.45,1.0,0.25,0.0,res,Safe
0.46,1.0,0.25,0.0,res,Safe
0.47000000000000003,1.0,0.25,0.0,res,Safe
0.48,1.0,0.25,0.0,res,Safe
0.49,1.0,0.25,0.0,res,Safe
0.5,1.0,0.25,0.0,res,Safe
0.51,0.0,0.0,0.0,res,Safe
0.52,0.0,0.0,0.0,res,Safe
0.53,0.0,0.0,0.0,res,Safe
0.54,0.0,0.0,0.0,res,Safe
0.55,0.0,0.0,0.0,res,Safe
0.56,0.0,0.0,0.0,res,Safe
0.5700000000000001,0.0,0.0,0.0,res,Safe
0.58,0.0,0.0,0.0,res,Safe
0.59,0.0,0.0,0.0,res,Safe
0.6,0.0,0.0,0.0,res,Safe
0.61,0.0,0.0,0.0,res,Safe
0.62,0.0,0.0,0.0,res,Safe
0.63,0.0,0.0,0.0,res,Safe
0.64,0.0,0.0,0.0,res,Safe
0.65,0.0,0.0,0.0,res,Safe
0.66,0.0,0.0,0.0,res,Safe
0.67,0.0,0.0,0.0,res,Safe
0.68,0.0,0.0,0.0,res,Safe
0.6900000000000001,0.0,0.0,0.0,res,Safe
0.7000000000000001,0.0,0.0,0.0,res,Safe
0.71,0.0,0.0,0.0,res,Safe
0.72,0.0,0.0,0.0,res,Safe
0.73,0.0,0.0,0.0,res,Safe
0.74,0.0,0.0,0.0,res,Safe
0.75,0.0,0.0,0.0,res,Safe
0.76,0.0,0.0,0.0,res,Safe
0.77,0.0,0.0,0.0,res,Safe
0.78,0.0,0.0,0.0,res,Safe
0.79,0.0,0.0,0.0,res,Safe
0.8,0.0,0.0,0.0,res,Safe
0.81,0.0,0.0,0.0,res,Safe
0.8200000000000001,0.0,0.0,0.0,res,Safe
0.8300000000000001,0.0,0.0,0.0,res,Safe
0.84,0.0,0.0,0.0,res,Safe
0.85,0.0,0.0,0.0,res,Safe
0.86,0.0,0.0,0.0,res,Safe
0.87,0.0,0.0,0.0,res,Safe
0.88,0.0,0.0,0.0,res,Safe
0.89,0.0,0.0,0.0,res,Safe
0.9,0.0,0.0,0.0,res,Safe
0.91,0.0,0.0,0.0,res,Safe
0.92,0.0,0.0,0.0,res,Safe
0.93,0.0,0.0,0.0,res,Safe
0.9400000000000001,0.0,0.0,0.0,res,Safe
0.9500000000000001,0.0,0.0,0.0,res,Safe
0.96,0.0,0.0,0.0,res,Safe
0.97,0.0,0.0,0.0,res,Safe
0.98,0.0,0.0,0.0,res,Safe
0.99,0.0,0.0,0.0,res,Safe
1.0,0.0,0.0,0.0,res,Safe
0.0,0.5,1.0,1.0,jcn,Safe
0.01,0.6666666666666666,1.0,0.5,jcn,Safe
0.02,0.6666666666666666,1.0,0.5,jcn,Safe
0.03,0.6666666666666666,1.0,0.5,jcn,Safe
0.04,0.6666666666666666,1.0,0.5,jcn,Safe
0.05,0.6,0.75,0.5,jcn,Safe
0.06,0.6,0.75,0.5,jcn,Safe
0.07,0.6,0.75,0.5,jcn,Safe
0.08,0.6,0.75,0.5,jcn,Safe
0.09,0.6,0.75,0.5,jcn,Safe
0.1,0.6,0.75,0.5,jcn,Safe
0.11,0.6,0.75,0.5,jcn,Safe
0.12,0.6,0.75,0.5,jcn,Safe
0.13,0.6,0.75,0.5,jcn,Safe
0.14,0.6,0.75,0.5,jcn,Safe
0.15,0.6,0.75,0.5,jcn,Safe
0.16,0.6,0.75,0.5,jcn,Safe
0.17,0.75,0.75,0.25,jcn,Safe
0.18,0.75,0.75,0.25,jcn,Safe
0.19,1.0,0.75,0.0,jcn,Safe
0.2,1.0,0.75,0.0,jcn,Safe
0.21,1.0,0.75,0.0,jcn,Safe
0.22,1.0,0.75,0.0,jcn,Safe
0.23,1.0,0.75,0.0,jcn,Safe
0.24,1.0,0.75,0.0,jcn,Safe
0.25,1.0,0.75,0.0,jcn,Safe
0.26,1.0,0.75,0.0,jcn,Safe
0.27,1.0,0.75,0.0,jcn,Safe
0.28,1.0,0.75,0.0,jcn,Safe
0.29,1.0,0.75,0.0,jcn,Safe
0.3,1.0,0.75,0.0,jcn,Safe
0.31,1.0,0.75,0.0,jcn,Safe
0.32,1.0,0.5,0.0,jcn,Safe
0.33,1.0,0.5,0.0,jcn,Safe
0.34,1.0,0.5,0.0,jcn,Safe
0.35000000000000003,1.0,0.5,0.0,jcn,Safe
0.36,1.0,0.5,0.0,jcn,Safe
0.37,1.0,0.5,0.0,jcn,Safe
0.38,1.0,0.5,0.0,jcn,Safe
0.39,1.0,0.5,0.0,jcn,Safe
0.4,1.0,0.5,0.0,jcn,Safe
0.41000000000000003,1.0,0.5,0.0,jcn,Safe
0.42,1.0,0.5,0.0,jcn,Safe
0.43,1.0,0.5,0.0,jcn,Safe
0.44,1.0,0.5,0.0,jcn,Safe
0.45,1.0,0.5,0.0,jcn,Safe
0.46,1.0,0.5,0.0,jcn,Safe
0.47000000000000003,1.0,0.5,0.0,jcn,Safe
0.48,1.0,0.5,0.0,jcn,Safe
0.49,1.0,0.5,0.0,jcn,Safe
0.5,1.0,0.5,0.0,jcn,Safe
0.51,0.0,0.0,0.0,jcn,Safe
0.52,0.0,0.0,0.0,jcn,Safe
0.53,0.0,0.0,0.0,jcn,Safe
0.54,0.0,0.0,0.0,jcn,Safe
0.55,0.0,0.0,0.0,jcn,Safe
0.56,0.0,0.0,0.0,jcn,Safe
0.5700000000000001,0.0,0.0,0.0,jcn,Safe
0.58,0.0,0.0,0.0,jcn,Safe
0.59,0.0,0.0,0.0,jcn,Safe
0.6,0.0,0.0,0.0,jcn,Safe
0.61,0.0,0.0,0.0,jcn,Safe
0.62,0.0,0.0,0.0,jcn,Safe
0.63,0.0,0.0,0.0,jcn,Safe
0.64,0.0,0.0,0.0,jcn,Safe
0.65,0.0,0.0,0.0,jcn,Safe
0.66,0.0,0.0,0.0,jcn,Safe
0.67,0.0,0.0,0.0,jcn,Safe
0.68,0.0,0.0,0.0,jcn,Safe
0.6900000000000001,0.0,0.0,0.0,jcn,Safe
0.7000000000000001,0.0,0.0,0.0,jcn,Safe
0.71,0.0,0.0,0.0,jcn,Safe
0.72,0.0,0.0,0.0,jcn,Safe
0.73,0.0,0.0,0.0,jcn,Safe
0.74,0.0,0.0,0.0,jcn,Safe
0.75,0.0,0.0,0.0,jcn,Safe
0.76,0.0,0.0,0.0,jcn,Safe
0.77,0.0,0.0,0.0,jcn,Safe
0.78,0.0,0.0,0.0,jcn,Safe
0.79,0.0,0.0,0.0,jcn,Safe
0.8,0.0,0.0,0.0,jcn,Safe
0.81,0.0,0.0,0.0,jcn,Safe
0.8200000000000001,0.0,0.0,0.0,jcn,Safe
0.8300000000000001,0.0,0.0,0.0,jcn,Safe
0.84,0.0,0.0,0.0,jcn,Safe
0.85,0.0,0.0,0.0,jcn,Safe
0.86,0.0,0.0,0.0,jcn,Safe
0.87,0.0,0.0,0.0,jcn,Safe
0.88,0.0,0.0,0.0,jcn,Safe
0.89,0.0,0.0,0.0,jcn,Safe
0.9,0.0,0.0,0.0,jcn,Safe
0.91,0.0,0.0,0.0,jcn,Safe
0.92,0.0,0.0,0.0,jcn,Safe
0.93,0.0,0.0,0.0,jcn,Safe
0.9400000000000001,0.0,0.0,0.0,jcn,Safe
0.9500000000000001,0.0,0.0,0.0,jcn,Safe
0.96,0.0,0.0,0.0,jcn,Safe
0.97,0.0,0.0,0.0,jcn,Safe
0.98,0.0,0.0,0.0,jcn,Safe
0.99,0.0,0.0,0.0,jcn,Safe
1.0,0.0,0.0,0.0,jcn,Safe
0.0,0.5,1.0,1.0,lin,Safe
0.01,0.6666666666666666,1.0,0.5,lin,Safe
0.02,0.6666666666666666,1.0,0.5,lin,Safe
0.03,0.6666666666666666,1.0,0.5,lin,Safe
0.04,0.6666666666666666,1.0,0.5,lin,Safe
0.05,0.6666666666666666,1.0,0.5,lin,Safe
0.06,0.6666666666666666,1.0,0.5,lin,Safe
0.07,0.6666666666666666,1.0,0.5,lin,Safe
0.08,0.6666666666666666,1.0,0.5,lin,Safe
0.09,0.6666666666666666,1.0,0.5,lin,Safe
0.1,0.6666666666666666,1.0,0.5,lin,Safe
0.11,0.6666666666666666,1.0,0.5,lin,Safe
0.12,0.6666666666666666,1.0,0.5,lin,Safe
0.13,0.6666666666666666,1.0,0.5,lin,Safe
0.14,0.6666666666666666,1.0,0.5,lin,Safe
0.15,0.6666666666666666,1.0,0.5,lin,Safe
0.16,0.6666666666666666,1.0,0.5,lin,Safe
0.17,0.8,1.0,0.25,lin,Safe
0.18,0.8,1.0,0.25,lin,Safe
0.19,0.8,1.0,0.25,lin,Safe
0.2,0.75,0.75,0.25,lin,Safe
0.21,0.75,0.75,0.25,lin,Safe
0.22,0.75,0.75,0.25,lin,Safe
0.23,0.75,0.75,0.25,lin,Safe
0.24,0.75,0.75,0.25,lin,Safe
0.25,0.75,0.75,0.25,lin,Safe
0.26,0.75,0.75,0.25,lin,Safe
0.27,0.75,0.75,0.25,lin,Safe
0.28,0.75,0.75,0.25,lin,Safe
0.29,0.75,0.75,0.25,lin,Safe
0.3,0.75,0.75,0.25,lin,Safe
0.31,0.75,0.75,0.25,lin,Safe
0.32,0.75,0.75,0.25,lin,Safe
0.33,0.75,0.75,0.25,lin,Safe
0.34,0.75,0.75,0.25,lin,Safe
0.35000000000000003,0.75,0.75,0.25,lin,Safe
0.36,0.75,0.75,0.25,lin,Safe
0.37,0.75,0.75,0.25,lin,Safe
0.38,0.75,0.75,0.25,lin,Safe
0.39,0.75,0.75,0.25,lin,Safe
0.4,0.75,0.75,0.25,lin,Safe
0.41000000000000003,0.75,0.75,0.25,lin,Safe
0.42,0.75,0.75,0.25,lin,Safe
0.43,0.75,0.75,0.25,lin,Safe
0.44,0.75,0.75,0.25,lin,Safe
0.45,0.75,0.75,0.25,lin,Safe
0.46,0.75,0.75,0.25,lin,Safe
0.47000000000000003,0.75,0.75,0.25,lin,Safe
0.48,0.75,0.75,0.25,lin,Safe
0.49,0.75,0.75,0.25,lin,Safe
0.5,0.75,0.75,0.25,lin,Safe
0.51,0.5,0.25,0.25,lin,Safe
0.52,0.5,0.25,0.25,lin,Safe
0.53,0.5,0.25,0.25,lin,Safe
0.54,0.5,0.25,0.25,lin,Safe
0.55,0.5,0.25,0.25,lin,Safe
0.56,0.5,0.25,0.25,lin,Safe
0.5700000000000001,0.5,0.25,0.25,lin,Safe
0.58,0.5,0.25,0.25,lin,Safe
0.59,0.5,0.25,0.25,lin,Safe
0.6,0.5,0.25,0.25,lin,Safe
0.61,0.5,0.25,0.25,lin,Safe
0.62,0.5,0.25,0.25,lin,Safe
0.63,0.5,0.25,0.25,lin,Safe
0.64,0.5,0.25,0.25,lin,Safe
0.65,1.0,0.25,0.0,lin,Safe
0.66,1.0,0.25,0.0,lin,Safe
0.67,1.0,0.25,0.0,lin,Safe
0.68,0.0,0.0,0.0,lin,Safe
0.6900000000000001,0.0,0.0,0.0,lin,Safe
0.7000000000000001,0.0,0.0,0.0,lin,Safe
0.71,0.0,0.0,0.0,lin,Safe
0.72,0.0,0.0,0.0,lin,Safe
0.73,0.0,0.0,0.0,lin,Safe
0.74,0.0,0.0,0.0,lin,Safe
0.75,0.0,0.0,0.0,lin,Safe
0.76,0.0,0.0,0.0,lin,Safe
0.77,0.0,0.0,0.0,lin,Safe
0.78,0.0,0.0,0.0,lin,Safe
0.79,0.0,0.0,0.0,lin,Safe
0.8,0.0,0.0,0.0,lin,Safe
0.81,0.0,0.0,0.0,lin,Safe
0.8200000000000001,0.0,0.0,0.0,lin,Safe
0.8300000000000001,0.0,0.0,0.0,lin,Safe
0.84,0.0,0.0,0.0,lin,Safe
0.85,0.0,0.0,0.0,lin,Safe
0.86,0.0,0.0,0.0,lin,Safe
0.87,0.0,0.0,0.0,lin,Safe
0.88,0.0,0.0,0.0,lin,Safe
0.89,0.0,0.0,0.0,lin,Safe
0.9,0.0,0.0,0.0,lin,Safe
0.91,0.0,0.0,0.0,lin,Safe
0.92,0.0,0.0,0.0,lin,Safe
0.93,0.0,0.0,0.0,lin,Safe
0.9400000000000001,0.0,0.0,0.0,lin,Safe
0.9500000000000001,0.0,0.0,0.0,lin,Safe
0.96,0.0,0.0,0.0,lin,Safe
0.97,0.0,0.0,0.0,lin,Safe
0.98,0.0,0.0,0.0,lin,Safe
0.99,0.0,0.0,0.0,lin,Safe
1.0,0.0,0.0,0.0,lin,Safe
0.0,0.5,1.0,1.0,path,Safe
0.01,0.6666666666666666,1.0,0.5,path,Safe
0.02,0.6666666666666666,1.0,0.5,path,Safe
0.03,0.6666666666666666,1.0,0.5,path,Safe
0.04,0.6666666666666666,1.0,0.5,path,Safe
0.05,0.6666666666666666,1.0,0.5,path,Safe
0.06,0.6666666666666666,1.0,0.5,path,Safe
0.07,0.6666666666666666,1.0,0.5,path,Safe
0.08,0.6666666666666666,1.0,0.5,path,Safe
0.09,0.6666666666666666,1.0,0.5,path,Safe
0.1,0.6666666666666666,1.0,0.5,path,Safe
0.11,0.6666666666666666,1.0,0.5,path,Safe
0.12,0.6666666666666666,1.0,0.5,path,Safe
0.13,0.6666666666666666,1.0,0.5,path,Safe
0.14,0.6666666666666666,1.0,0.5,path,Safe
0.15,0.6666666666666666,1.0,0.5,path,Safe
0.16,0.6,0.75,0.5,path,Safe
0.17,0.6,0.75,0.5,path,Safe
0.18,0.6,0.75,0.5,path,Safe
0.19,0.6,0.75,0.5,path,Safe
0.2,0.6,0.75,0.5,path,Safe
0.21,0.6,0.75,0.5,path,Safe
0.22,0.6,0.75,0.5,path,Safe
0.23,0.6,0.75,0.5,path,Safe
0.24,0.6,0.75,0.5,path,Safe
0.25,0.6,0.75,0.5,path,Safe
0.26,0.6,0.75,0.5,path,Safe
0.27,0.6,0.75,0.5,path,Safe
0.28,0.6,0.75,0.5,path,Safe
0.29,0.6,0.75,0.5,path,Safe
0.3,0.6,0.75,0.5,path,Safe
0.31,0.6,0.75,0.5,path,Safe
0.32,0.6,0.75,0.5,path,Safe
0.33,0.6,0.75,0.5,path,Safe
0.34,0.6,0.75,0.5,path,Safe
0.35000000000000003,0.6,0.75,0.5,path,Safe
0.36,0.6,0.75,0.5,path,Safe
0.37,0.6,0.75,0.5,path,Safe
0.38,0.6,0.75,0.5,path,Safe
0.39,0.6,0.75,0.5,path,Safe
0.4,0.75,0.75,0.25,path,Safe
0.41000000000000003,0.75,0.75,0.25,path,Safe
0.42,0.75,0.75,0.25,path,Safe
0.43,0.75,0.75,0.25,path,Safe
0.44,0.75,0.75,0.25,path,Safe
0.45,0.75,0.75,0.25,path,Safe
0.46,0.75,0.75,0.25,path,Safe
0.47000000000000003,1.0,0.75,0.0,path,Safe
0.48,1.0,0.75,0.0,path,Safe
0.49,1.0,0.75,0.0,path,Safe
0.5,1.0,0.75,0.0,path,Safe
0.51,1.0,0.75,0.0,path,Safe
0.52,1.0,0.75,0.0,path,Safe
0.53,1.0,0.75,0.0,path,Safe
0.54,1.0,0.75,0.0,path,Safe
0.55,1.0,0.75,0.0,path,Safe
0.56,1.0,0.75,0.0,path,Safe
0.5700000000000001,1.0,0.5,0.0,path,Safe
0.58,1.0,0.5,0.0,path,Safe
0.59,1.0,0.5,0.0,path,Safe
0.6,1.0,0.5,0.0,path,Safe
0.61,1.0,0.5,0.0,path,Safe
0.62,1.0,0.5,0.0,path,Safe
0.63,1.0,0.5,0.0,path,Safe
0.64,1.0,0.5,0.0,path,Safe
0.65,1.0,0.5,0.0,path,Safe
0.66,1.0,0.5,0.0,path,Safe
0.67,1.0,0.5,0.0,path,Safe
0.68,1.0,0.5,0.0,path,Safe
0.6900000000000001,1.0,0.5,0.0,path,Safe
0.7000000000000001,1.0,0.5,0.0,path,Safe
0.71,1.0,0.5,0.0,path,Safe
0.72,1.0,0.5,0.0,path,Safe
0.73,1.0,0.5,0.0,path,Safe
0.74,1.0,0.5,0.0,path,Safe
0.75,1.0,0.5,0.0,path,Safe
0.76,1.0,0.5,0.0,path,Safe
0.77,1.0,0.5,0.0,path,Safe
0.78,1.0,0.5,0.0,path,Safe
0.79,1.0,0.5,0.0,path,Safe
0.8,1.0,0.5,0.0,path,Safe
0.81,1.0,0.5,0.0,path,Safe
0.8200000000000001,1.0,0.5,0.0,path,Safe
0.8300000000000001,1.0,0.5,0.0,path,Safe
0.84,1.0,0.5,0.0,path,Safe
0.85,1.0,0.5,0.0,path,Safe
0.86,1.0,0.5,0.0,path,Safe
0.87,1.0,0.5,0.0,path,Safe
0.88,1.0,0.5,0.0,path,Safe
0.89,1.0,0.5,0.0,path,Safe
0.9,1.0,0.5,0.0,path,Safe
0.91,1.0,0.5,0.0,path,Safe
0.92,1.0,0.5,0.0,path,Safe
0.93,1.0,0.5,0.0,path,Safe
0.9400000000000001,1.0,0.5,0.0,path,Safe
0.9500000000000001,1.0,0.5,0.0,path,Safe
0.96,1.0,0.5,0.0,path,Safe
0.97,1.0,0.5,0.0,path,Safe
0.98,1.0,0.5,0.0,path,Safe
0.99,1.0,0.5,0.0,path,Safe
1.0,1.0,0.5,0.0,path,Safe
0.0,0.5,1.0,1.0,lch,Safe
0.01,0.6666666666666666,1.0,0.5,lch,Safe
0.02,0.6666666666666666,1.0,0.5,lch,Safe
0.03,0.6666666666666666,1.0,0.5,lch,Safe
0.04,0.6666666666666666,1.0,0.5,lch,Safe
0.05,0.6666666666666666,1.0,0.5,lch,Safe
0.06,0.6666666666666666,1.0,0.5,lch,Safe
0.07,0.6666666666666666,1.0,0.5,lch,Safe
0.08,0.6666666666666666,1.0,0.5,lch,Safe
0.09,0.6666666666666666,1.0,0.5,lch,Safe
0.1,0.6666666666666666,1.0,0.5,lch,Safe
0.11,0.6666666666666666,1.0,0.5,lch,Safe
0.12,0.6666666666666666,1.0,0.5,lch,Safe
0.13,0.6666666666666666,1.0,0.5,lch,Safe
0.14,0.6666666666666666,1.0,0.5,lch,Safe
0.15,0.6666666666666666,1.0,0.5,lch,Safe
0.16,0.6666666666666666,1.0,0.5,lch,Safe
0.17,0.8,1.0,0.25,lch,Safe
0.18,0.8,1.0,0.25,lch,Safe
0.19,0.8,1.0,0.25,lch,Safe
0.2,0.8,1.0,0.25,lch,Safe
0.21,0.75,0.75,0.25,lch,Safe
0.22,0.75,0.75,0.25,lch,Safe
0.23,0.75,0.75,0.25,lch,Safe
0.24,0.75,0.75,0.25,lch,Safe
0.25,0.75,0.75,0.25,lch,Safe
0.26,0.75,0.75,0.25,lch,Safe
0.27,0.75,0.75,0.25,lch,Safe
0.28,0.75,0.75,0.25,lch,Safe
0.29,0.75,0.75,0.25,lch,Safe
0.3,0.75,0.75,0.25,lch,Safe
0.31,0.75,0.75,0.25,lch,Safe
0.32,0.75,0.75,0.25,lch,Safe
0.33,0.75,0.75,0.25,lch,Safe
0.34,0.75,0.75,0.25,lch,Safe
0.35000000000000003,0.75,0.75,0.25,lch,Safe
0.36,0.75,0.75,0.25,lch,Safe
0.37,0.75,0.75,0.25,lch,Safe
0.38,0.75,0.75,0.25,lch,Safe
0.39,0.75,0.75,0.25,lch,Safe
0.4,0.75,0.75,0.25,lch,Safe
0.41000000000000003,0.75,0.75,0.25,lch,Safe
0.42,0.75,0.75,0.25,lch,Safe
0.43,0.75,0.75,0.25,lch,Safe
0.44,0.75,0.75,0.25,lch,Safe
0.45,0.75,0.75,0.25,lch,Safe
0.46,0.75,0.75,0.25,lch,Safe
0.47000000000000003,0.75,0.75,0.25,lch,Safe
0.48,0.75,0.75,0.25,lch,Safe
0.49,0.75,0.75,0.25,lch,Safe
0.5,0.75,0.75,0.25,lch,Safe
0.51,0.5,0.25,0.25,lch,Safe
0.52,0.5,0.25,0.25,lch,Safe
0.53,0.5,0.25,0.25,lch,Safe
0.54,0.5,0.25,0.25,lch,Safe
0.55,0.5,0.25,0.25,lch,Safe
0.56,0.5,0.25,0.25,lch,Safe
0.5700000000000001,0.5,0.25,0.25,lch,Safe
0.58,0.5,0.25,0.25,lch,Safe
0.59,0.5,0.25,0.25,lch,Safe
0.6,0.5,0.25,0.25,lch,Safe
0.61,0.5,0.25,0.25,lch,Safe
0.62,1.0,0.25,0.0,lch,Safe
0.63,1.0,0.25,0.0,lch,Safe
0.64,1.0,0.25,0.0,lch,Safe
0.65,1.0,0.25,0.0,lch,Safe
